Author,Title,Year,Category,Url,Citations
"Fisher, P. and Hankley, W. and Wallentine, V.",Separation of Introductory Programming and Language Instruction,1973,FLP: other: language agnostic approaches,http://doi.acm.org/10.1145/800010.808066,6
"Weiner, Leonard H.",Machine Generation of Assignments for a Mass Education Introductory Programming Course,1973,LA: assessment: other: auto and student generated assignments,http://doi.acm.org/10.1145/800010.808105,2
"Salton, Gerard",Introductory Programming at Cornell,1973,Students: non-majors,http://doi.acm.org/10.1145/800010.808068,3
"Gries, David",What Should We Teach in an Introductory Programming Course?,1974,FLP: other: language agnostic approaches,http://doi.acm.org/10.1145/800183.810447,32
"Conway, Richard W.",Introductory Instruction in Programming,1974,Students: other: enrollment issues,http://doi.acm.org/10.1145/800183.810430,3
"Shapiro, Stuart C. and Witmer, Douglas P.",Interactive Visual Simulators for Beginning Programming Students,1974,Tools: editors apis etc,http://doi.acm.org/10.1145/800183.810431,5
"Danielson, Ronald L. and Nievergelt, Jurg",An Automatic Tutor for Introductory Programming Students,1975,LA: assessment: automatic tutoring and assessment systems,http://doi.acm.org/10.1145/800284.811129,2
"Cherniak, Bob",Introductory Programming Reconsidered - a User-oriented Approach,1976,DSA: general,http://doi.acm.org/10.1145/800107.803449,6
"Ecklund,Jr., E. F.",A Ldquo;Non-programming\&Rdquo; Introduction to Programming Concepts,1976,FLP: other: language agnostic approaches,http://doi.acm.org/10.1145/800107.803448,0
"Brewer, Richard K.",Documentation Standards for Beginning Students,1976,Teaching: other: focus on documentation or requirements or specifications or design,http://doi.acm.org/10.1145/800107.803450,1
"Shneiderman, Ben","Evaluating Introductory Programming Textbooks: A Guide for Students, Instructors, Authors and Publishers",1977,Content: other: textbook choice,http://doi.acm.org/10.1145/800106.803434,0
"Alford, M. and Hsia, P. and Petry, F.",A Software Engineering Approach to Introductory Programming Courses,1977,Content: software engineering approaches,http://doi.acm.org/10.1145/800104.803381,3
